k,time,ari,homogeneity,completeness,silhouette,aic,bic
2,0.6973239713420725,0.004017272980984912,0.001526728547379823,0.002209886467021381,0.2348801463450817,36108.712206146825,36942.16793163609
3,1.231774686395628,0.1255039798350083,0.11413006527474946,0.0772627731712094,0.03795897978712745,34251.294152144175,35504.16630723449
4,1.4183599502041773,0.1216856130534117,0.11797881045125544,0.07076039670841525,0.047973146023325246,33293.488111161016,34965.77669585237
5,1.5355548666185541,0.07289709978489523,0.11830511138069935,0.05542254002247156,0.08716943890514925,32635.260740993606,34726.965755286015
6,1.5025431713964466,0.058192712386442975,0.11870007953670968,0.048382579846316144,0.09626582205222751,32220.078967340625,34731.20041123408
7,1.8960635586061159,0.06740981376558278,0.1206654480020544,0.048361963722664825,0.07572743049214802,31727.880695224725,34658.41856871923
8,2.546681982868982,0.04215021949019942,0.10631718319958197,0.03770667433928166,0.07449701379709617,31128.18035934145,34478.134662437005
9,2.943835746874857,0.05645385497932476,0.14145622892183413,0.047950880951218335,0.053756045630143114,31117.037597332157,34886.40833002876
10,2.660683708346255,0.043412642512987744,0.13558455196138575,0.04552500260114798,0.04785643629496225,30819.28879053084,35008.07595282849
11,3.2254767905353248,0.0425720926836588,0.1426282291621765,0.04586140663829004,0.08179156552583783,30535.4659381825,35143.6695300812
12,3.2982648726234203,0.038622422635630906,0.11685219987578424,0.036250112230299975,0.06682696067355519,30128.017244551946,35155.63726605169
13,3.6488416507514785,0.040548195531608926,0.132488052084434,0.03878530245617249,0.039916466313369404,30150.74810315411,35597.784554254904
14,4.550071061322413,0.04382046080347524,0.14093472559453837,0.040856518990897046,0.056387783988424235,29799.865913611953,35666.3187943138
15,4.1597775282073215,0.04163477401286537,0.16247006835274574,0.04531130327527111,0.030926754770562236,29715.835448691563,36001.704758994456
16,4.590116432846649,0.03422195768919765,0.1310072372898422,0.035647856031471505,0.036809021034151686,29520.686953120035,36225.97269302398
17,4.7468075304162625,0.031436422372366754,0.14217041847369788,0.03868661449660639,0.05375186146557403,29028.678686376097,36153.380855881085
18,5.427202780769164,0.029502282263349888,0.16069899866241,0.04207522789060672,0.06937972811197014,29355.69563475388,36899.814233859914
19,5.523447992185012,0.025358626522502533,0.14722774205887126,0.03783209537409542,0.06410656937473337,28522.057468120085,36485.59249682717
20,6.425871322740875,0.03226311590280206,0.16167645417193582,0.04145890588852906,0.04664608896819229,28504.679153346733,36887.630611654866
21,7.5945051467761715,0.025921934793559028,0.16989887472337545,0.041628942872928634,0.06644763132360317,28532.29620163289,37334.66408954207
22,7.552750007453994,0.02804044128909772,0.182094688143362,0.04502086060658158,0.054211515126683534,28145.90211793137,37367.6864354416
23,6.4469604893917705,0.024251822163200487,0.17381373105807368,0.04123256616294415,0.06288865090137123,28557.407467494653,38198.608214605934
24,6.802894518579976,0.020749037593783857,0.16696236666775793,0.03873490509435589,0.043367957707618345,27931.136186912863,37991.75336362519
25,6.622930958146441,0.01961284456777624,0.15826269190185305,0.037315691518893745,0.07207953741169647,27995.955768092106,38475.989374405486
26,10.486186082881275,0.019001843735403506,0.15823400785333466,0.03631899168542162,0.04360972977049127,27795.577534832453,38695.02757074688
27,8.984808939139242,0.0199390164204842,0.1736718909022904,0.04060007508966408,0.05781546720888708,27332.94563000268,38651.81209551815
28,8.753381143566315,0.015883183172714508,0.16277109648601584,0.036286997472444786,0.08913610329695588,27742.75514795112,39481.038043067645
29,8.37192787620421,0.018610195645990285,0.17993819447592282,0.04002594629196428,0.06273384411400515,27275.968085899538,39433.66741061711
