components,accuracy
1,0.559748427672956
2,0.6320754716981132
3,0.6660377358490566
4,0.690566037735849
5,0.6930817610062892
6,0.7088050314465408
7,0.711320754716981
8,0.720125786163522
9,0.7226415094339623
10,0.7245283018867924
11,0.7314465408805031
