component,importance
0,0.036940721837609686
1,0.13993969200988984
2,0.0356045050239852
3,0.022283178724180883
4,0.03444371244855246
5,0.025639210043836312
6,0.10455686088161496
7,0.08083101554160535
8,0.03268859013330052
9,0.17736170952338834
10,0.30971080383203625
