k,time,ari,homogeneity,completeness,silhouette,aic,bic
2,2.4742375855885257,0.08018021803926091,0.06296655136479129,0.060880147521852675,0.2524995048472914,-138405.30055353558,-138168.92688168705
3,3.5422644148044355,0.08693780971693758,0.06407121765951158,0.043893261025616546,0.24034618947203562,-163271.6714445757,-162913.03552866762
4,4.49698105597804,0.03639341456893641,0.050423342112895723,0.024523464030622312,0.3071993895894274,-453188.02317276556,-452707.1250127979
5,4.408168990332911,0.03643756998137175,0.04979752272160404,0.022109895619565157,0.32241396429949765,-517197.3038593844,-516594.1434553571
6,6.550786323268312,0.08428202938756871,0.13938889275976463,0.06142143279841882,0.298186930647553,-556695.7191257041,-555970.2964776173
7,7.111280780549237,0.061127246062836066,0.12405692019969995,0.0470661748400441,0.3704818799180126,-676208.3145914958,-675360.6296993494
8,6.165156900770967,0.06477921009585899,0.13705063449821672,0.05199564774997288,0.33826160236816905,-680829.1136113184,-679859.1664751124
9,8.646631424012412,0.06040203357125543,0.13938673809139196,0.048507963872692746,0.3952000480203422,-755853.027158248,-754760.8177779824
10,10.997479751610854,0.057576963906725585,0.14209444617289965,0.04797500850925147,0.40078544619057493,-760665.3658264471,-759450.894202122
11,12.066007360369213,0.059518568696356876,0.14190662325803569,0.045809257032880184,0.4011171073175482,-770007.5790836123,-768670.8452152276
12,15.799017164042539,0.05663160152022634,0.1436175263855129,0.044997184386831694,0.3951297767129123,-775861.4632914893,-774402.467179045
13,18.2704712874106,0.05662770785004625,0.14362125114469465,0.044805928355787006,0.35571752793952977,-776278.3786786846,-774697.1203221807
14,17.90873116506259,0.04739606113565244,0.1448629603988861,0.04208912559545028,0.46746383775424594,-781807.84814448,-780104.3275439165
15,19.932099808376506,0.03387405157879818,0.14427209405708258,0.039188130112009015,0.43365703369466196,-781462.8640995317,-779637.0812549086
16,21.724047068147343,0.03879103167672185,0.14423646507127194,0.039066583681079015,0.4824395139383241,-784786.6437168347,-782838.598628152
17,24.515360819354896,0.03330830430976125,0.14443953956222777,0.0376658436103856,0.5744071605164244,-788963.7753600152,-786893.468027273
18,26.93897767234978,0.028494935876043362,0.14544288726673715,0.036728952699566136,0.5103914650224468,-788541.9859471879,-786349.416370386
19,27.746754951770413,0.029804991823112553,0.14435590290943573,0.036193854324875624,0.5658201975185646,-800708.62395694,-798393.7921360786
20,26.722137245013528,0.02640432158797043,0.14372409048140192,0.03522858129841449,0.6023727348125794,-795990.037397225,-793552.943332304
21,29.43418772564337,0.03028591320863309,0.14521001614872725,0.03656890503755537,0.535121016269602,-793375.3718671721,-790816.0155581916
22,31.661438083674966,0.022432140088489056,0.1442862410866133,0.033800198889985034,0.6019632197889702,-805396.7191400504,-802715.1005870103
23,32.66565399339606,0.02587390747041434,0.14545107895484444,0.0346707935152184,0.6011582957709587,-810659.4354906713,-807855.5546935716
24,29.261113250235667,0.02119883757540722,0.144724175435332,0.03346041630762855,0.6120745636211973,-816213.3866373528,-813287.2435961935
25,33.47725893412189,0.021775433146176398,0.14694429805281714,0.03400279049915998,0.5811281924865133,-814151.209568193,-811102.8042829741
26,30.61689595551593,0.02065539014447404,0.1443627504227244,0.03263883870382558,0.6309228726540598,-823960.0171000193,-820789.3495707408
27,35.837483252579204,0.018770922913525143,0.1466695213456424,0.03280659424136665,0.5848906739785024,-826029.3759436384,-822736.4461703004
28,32.06604935916562,0.019255091003910752,0.14666102617817164,0.03246827796051345,0.6197607321305274,-828122.7148184527,-824707.5228010551
29,35.128422060332696,0.022573699204530843,0.14658836080238113,0.03279460233079026,0.5623339415443201,-823999.3294623399,-820461.8752008827
30,35.19224099486496,0.019299937821651358,0.14703833137513062,0.03214068976157128,0.6483918780200736,-835478.804611555,-831819.0881060382
31,28.51820744007091,0.016874438782977952,0.14660387670522138,0.03141821202775199,0.6346051776366655,-841900.4150295735,-838118.4362799971
32,37.734212379898736,0.018118253162721892,0.1472684442031341,0.031864849431429525,0.6167611641799632,-832675.0321975902,-828770.7912039543
33,35.029511368048134,0.016260450515803413,0.14763632756726608,0.03104607935818048,0.611828218524598,-849341.6209338687,-845315.1176961731
34,36.16345578921346,0.015838213167721587,0.1466062147631201,0.03029388881267208,0.6363884362557322,-854372.588410359,-850223.8229286039
35,31.743797723537,0.01868919208468294,0.14681922279318277,0.031219542994345345,0.671178131837465,-844252.1034433687,-839981.075717554
36,36.379182446939694,0.015439917462306347,0.14509760003202044,0.029843369416022315,0.6755704982297389,-852372.9789514863,-847979.688981612
37,36.376272667728244,0.017476956322635632,0.14482126620013716,0.030464137541766325,0.6712197548992513,-851793.2145915406,-847277.6623776068
38,31.849531136336736,0.015609598829072945,0.14703080974652694,0.02987027364013866,0.6544850515046464,-855182.0537431075,-850544.2392851141
39,34.103093900652766,0.013862063200173776,0.1479997794756637,0.02949068621446241,0.6648872453218507,-857638.6026114867,-852878.5259094337
40,34.20008803717178,0.014191236103285789,0.14747284414579656,0.029492210556339146,0.6531855193369417,-855891.5051565093,-851009.1662103968
41,31.543616711930326,0.01543018201494758,0.14854590400830364,0.029703871424954315,0.7016172869050321,-860412.1945179569,-855407.5933277848
42,32.59771597079589,0.014020006288783709,0.14640673073704782,0.029315692474532765,0.6845603178284013,-867826.6743923236,-862699.8109580919
43,42.325151796795126,0.013544295385955418,0.14871757053448253,0.02906742563596893,0.7034240563363502,-870398.7462822085,-865149.6206039172
44,35.44118870059242,0.01461548283492876,0.14616263636104593,0.029045436429771174,0.6774994697517108,-864580.3732157357,-859208.9852933848
45,33.049171934416336,0.01301076179626355,0.1493875739605901,0.02907403861388438,0.7084108169336133,-874516.8297801525,-869023.179613742
46,36.577835471798835,0.01454148082102351,0.14655587102858858,0.02927779937636028,0.702408334742537,-867850.9048990656,-862234.9924885955
47,32.41163212773267,0.013147331485860713,0.1488942897339893,0.02887865604061565,0.6979217400281883,-875297.7947501665,-869559.6200956368
48,33.445023415130436,0.014236206750781731,0.14745791517692813,0.02865853624108983,0.7141139734923119,-874251.8082920366,-868391.3713934474
49,35.223227450413106,0.013077046289683175,0.14964746654397834,0.028732321594776164,0.7231156037118863,-881882.5904846785,-875899.8913420297
