components,accuracy
1,0.6352201257861635
2,0.660377358490566
3,0.660377358490566
4,0.7044025157232704
5,0.7169811320754716
6,0.7169811320754716
7,0.7169811320754716
8,0.6981132075471698
9,0.6918238993710691
10,0.6918238993710691
11,0.6981132075471698
