components,mean_kurtosis,accuracy
1,0.3202434589430574,0.5157232704402516
2,0.728420424607767,0.6037735849056604
3,1.0179543042467643,0.710691823899371
4,9.377566502468403,0.7169811320754716
5,10.774682023948422,0.7421383647798742
6,10.157600031760847,0.7295597484276729
7,11.163083045373513,0.7169811320754716
8,12.68148598268062,0.7358490566037735
9,12.117641525682423,0.6918238993710691
10,11.569252267879286,0.710691823899371
11,11.29298710690527,0.7358490566037735
