k,ari,distortion,pca_ari,pca_distortion,ica_ari,ica_distortion,rca_ari,rca_distortion,rf_ari,rf_distortion
2,0.029120032688172384,14321.180519954702,0.028695888565987236,7259.504887236368,0.08669127353954141,3.2487762451648203,0.010525662810789588,11612.752269620029,0.1431541657324251,6243.533480804217
3,0.041936033271885435,12622.075920943584,0.03902288983414336,5660.624399809648,0.09354207975049206,2.6405086455213027,0.005355113858208688,9571.564693269458,0.15060596398058668,5239.610305764228
4,0.0452544113436617,11287.146865345543,0.07450206650599735,4495.242919809284,0.06063714767173011,2.0999004972482225,0.0077698410352144915,7825.510161975273,0.11018387554228605,4500.243465289898
5,0.0762499244418789,10149.56913219253,0.06554446289246213,3819.3853829757727,0.07748905694250181,1.683422258426852,0.0056708064286220185,7015.12753879306,0.0997906363111059,3999.273929553082
6,0.06955189271210864,9358.855700098244,0.05802906346063964,3428.50794284648,0.06580689793155203,1.5271345484690304,0.009593405611433653,6291.321110848698,0.0978813556615619,3677.7329216815247
7,0.06184562317158636,8642.984889515647,0.050207665571258116,3142.0465975581046,0.05777217409902841,1.3998997855504742,0.012182219975090135,5664.652719351181,0.06998220958299779,3400.419421840419
8,0.05464683331657438,8294.040701920932,0.042388504665676875,2889.778502632476,0.058971375794598345,1.2969692805029724,0.011084587756077104,5318.272874712191,0.06984895664820223,3209.0126868636735
9,0.04800923374076643,7965.103492175169,0.04139733675626825,2693.923194187396,0.0559142197361622,1.2166670618986293,0.011848336638876527,5024.619756805826,0.06961375052446554,3038.7282654131573
10,0.041479842337193644,7730.023038694161,0.0323129134281575,2517.9582831180087,0.04480649502738891,1.1627138800781056,0.012365203714539464,4730.93406733416,0.06253356760780471,2886.671034318656
11,0.038321196028691155,7437.617873442287,0.03237414028855849,2331.1854024509284,0.04307205840366603,1.1041286566576272,0.010045528889692498,4506.404183044351,0.05643697340915769,2775.8596126814623
12,0.040090503151664396,7225.31763653465,0.033784885479573985,2190.8888923278423,0.035345433104208894,1.0514837081932171,0.007479527393674277,4300.749901499418,0.0527750514397145,2674.719611431253
13,0.04100175668138995,7052.435926162341,0.02925472556471663,2055.975894278656,0.03985398897936015,1.0204598607814614,0.009197991724368568,4089.5405623359466,0.049418327386344385,2586.7193942511235
14,0.031987423897796394,6818.880338453292,0.03221194913247984,2005.3155941454875,0.037088413253376404,0.9651684864468255,0.008419434471597199,3908.8702898890165,0.04214443378678421,2493.7379056338696
15,0.030773780264020875,6689.470836196488,0.029564328702462665,1893.7814398050914,0.03679307757565413,0.9447388094283976,0.00722340520831637,3724.6556211373127,0.03999251745160529,2427.838077698013
16,0.030355516810482108,6524.838400942205,0.028227886019797154,1804.5712924096904,0.03266681369901425,0.9016063996168372,0.007075867422200968,3618.4182080587507,0.03509330510126023,2349.40267487873
17,0.028461301946347915,6324.388236070723,0.027549323206018772,1728.9774294797126,0.03224438916705256,0.8756978135915866,0.008141349156066199,3515.565456327224,0.033591526239315835,2274.2439030331316
18,0.032384665154929826,6257.3401291255705,0.025145103971879867,1687.8783271996012,0.03388507158656196,0.8512124764729392,0.0077343734421739885,3402.82500981672,0.03629592656577308,2212.7246130759027
19,0.02709787603886722,6120.37727221071,0.025485172972977598,1633.3181223085815,0.026953154156966152,0.8236203376950927,0.008359900604410456,3285.1811859035292,0.031375838633960706,2165.350777726188
