k,ari,distortion,pca_ari,pca_distortion,ica_ari,ica_distortion,rca_ari,rca_distortion,rf_ari,rf_distortion
2,-0.009728566894474447,24080.657425998827,-0.009728566894474447,20112.9736086693,0.011887945372534755,1.3278150238899107,-0.008278108920081758,21391.62020339051,-0.009728566894474447,17687.23299722604
3,0.044643355920709955,18209.76034832698,0.052390401250910955,14452.60468968034,0.08344576781657985,0.6774303176600133,-0.0017005079193897835,14141.165924384126,0.03843201760899642,11831.965296431244
4,0.03191980318393749,15045.865186969027,-0.0032995553231211575,11430.720515666164,0.012270603464140217,0.45894435672612865,-0.004064108913920803,10406.027851204413,0.03191980318393749,8663.036518807394
5,0.033784611037589514,12696.007656687363,0.02615607638370454,8869.516302612536,0.009922941316682386,0.3547972276037973,0.002779536462279457,8373.96906545482,0.032737146435582565,7122.2785646262355
6,0.018209948883934107,10005.71483139064,0.01907430226238532,6543.674910022522,0.00648954964000118,0.28757131416954756,0.005525562369266344,7168.69897986673,0.06512211477649169,4761.303351101663
7,0.020365984607327487,9073.126700745772,0.016231992760022042,5692.250509366621,0.009930863647613124,0.25228317354578406,0.03972487640500904,6379.009028136336,0.06385032517426237,3630.2385549563205
8,0.028612314646244412,7797.868781600414,0.01237917117057186,4821.408090719229,0.03194256004433595,0.21496215434574334,0.03653000995074945,5446.101293762048,0.05248513246391289,3214.106300486005
9,0.039698270492446036,6558.579165215799,0.02764976732190855,4767.986889531848,0.027636853169655723,0.188696707828072,0.025671817777341056,4712.027189527125,0.053344622164449504,2908.9408296735287
10,0.04090756122677974,5895.910197638292,0.016660184814001562,4180.022884362787,0.030383769242228235,0.16769503490361062,0.02855965476446882,4145.665108236785,0.04453738951713828,2427.752667645983
11,0.04163736531742342,5260.361259592304,0.027576115111630172,3522.9660670920493,0.03333934314579004,0.1413838405528159,0.039033687566243355,3722.4561739581986,0.04897389640173612,2143.167921590383
12,0.03283894627199925,4588.149370865263,0.015035390327914509,3329.647211689832,0.02805176547524075,0.13659815881523554,0.027653096109145372,2989.5445994927027,0.04449057683071802,1909.5743136672872
13,0.030955403929919065,4170.980264544746,0.022447864380712942,3277.259486987469,0.021019937945607806,0.12029652906661971,0.029452174690584414,3224.7857816187375,0.048335025793474214,1708.6591798980223
