k,time,ari,homogeneity,completeness,silhouette,distortion
2,0.2706572362804198,-0.009728566894474447,0.0021109647109210272,0.0031739325173556644,0.4998701355218922,24080.657425998827
3,0.3095359389472154,0.03857220295932962,0.03412715403327038,0.02252685728271135,0.3492683055852681,18215.22176194408
4,0.39369287081651194,0.018759806374839576,0.03523906886626949,0.017780491035303634,0.3784050244103364,14898.451679291727
5,0.48294608412519224,0.013052685895431194,0.03436263296541588,0.015548352441685113,0.38011418175169875,12191.261710043045
6,0.502779134100237,0.05236337549402682,0.10414453890865266,0.04106977192445524,0.42741291685285887,10143.343407312434
7,0.5757717599451411,0.029511729618184653,0.07221370569042743,0.025774260779071925,0.4881939411553354,8620.081072411574
8,0.618651569328307,0.033284920751738785,0.08923570960768136,0.030012182092254314,0.5258328837374923,7543.452702798083
9,0.7446748892402013,0.03427133323888813,0.10260020005697881,0.03325762249853042,0.5305159051019535,6709.1794174343295
10,0.899518360366983,0.04164805528422758,0.12285094928489708,0.03796530639422974,0.619189007507754,5833.799161081332
11,0.9009318923792051,0.03257470956358731,0.12129417087214282,0.0349411766650697,0.6371216348658821,5262.257237233909
12,0.8875301084883347,0.027828608626288283,0.121559534474185,0.033584679677599934,0.6139883449346004,4482.590981943887
13,1.0587601634682926,0.031395232689239945,0.11504577467682653,0.03189523700788622,0.59830491535092,4685.663665800646
14,1.3794584848309057,0.029653204708046374,0.1227785806104796,0.032661834310791484,0.6588498445156309,3542.6422475602385
15,1.282855802742887,0.03681995643427195,0.12444650386957865,0.034364591904445206,0.6374329326573372,3711.544048888467
16,1.1234976212971617,0.032826829964327425,0.12410921500771321,0.032568543021641166,0.6473134725206572,3309.529398823984
17,2.244778283223866,0.02995886078630447,0.13222786051448146,0.03354491969955494,0.6788527804242509,2864.036218256312
18,1.3448495529372337,0.024957809107955933,0.13134885771462168,0.03270403786007589,0.6620178475568709,2977.120261973001
19,1.7461599153868406,0.02569523222414843,0.12991660722520737,0.032166032685273974,0.6672651629796166,2716.8892281076287
20,2.14029361326547,0.023574287458535712,0.12759123648242252,0.030827217165121056,0.6814836419125514,2729.4947613000545
21,2.64462862644379,0.026577678784967963,0.13292070163231606,0.03208829863730015,0.663931291364964,2451.8967693839677
22,2.5862842831206194,0.023033853042695993,0.1327746720023864,0.031776509404480145,0.6901177141212314,2209.662069323868
23,2.130533541809797,0.028417738619660366,0.13781821247745407,0.03384235107317078,0.6836768074401228,2315.072193462535
24,2.782980997628499,0.01894323821642607,0.12652149693931108,0.028575400010924387,0.6726420966926052,2105.8189165146023
25,2.2431922676047975,0.017508836112136147,0.13204057920809667,0.02921294000136178,0.6936627825940643,2049.143019888365
26,2.323175609150894,0.020413270352240456,0.13298581129601536,0.029420390267024293,0.721419859387513,1728.6264227341833
27,2.2885682802647125,0.021552377091212768,0.1279999847499253,0.028770585176766745,0.7082765591615092,1704.8505566809804
28,2.2203228008259543,0.02129938828319201,0.12734216233945783,0.02854511002192884,0.70773709073767,1654.1619420450986
29,2.7064694497227606,0.020993055950869956,0.13518443706038158,0.03026300818992739,0.7177872395176466,1651.1222760726475
30,2.609459924331645,0.017723263735522965,0.13335783102455037,0.028343228678255443,0.7285994800176585,1585.2986291702846
31,2.509001688608123,0.018704752606829994,0.1295382725803617,0.02837831702381181,0.7277533779250108,1555.4156409349055
32,3.8743097850463073,0.019151910338988585,0.13503939737773987,0.02944335380162836,0.6939011833754178,1424.309162437732
33,3.0416419669927564,0.016444461445669762,0.12907828780982697,0.027654560458381668,0.7188032346040764,1481.2880133859016
34,2.883464560870493,0.016322983358887,0.14332706961704633,0.029602939677936254,0.7069596038959877,1360.8289113474136
35,3.4965434349308566,0.01716163932122233,0.13490882725606967,0.028245716492745817,0.7284491486106771,1234.4645699596495
36,3.1609092515012662,0.016629706902340273,0.14171471367866126,0.0293036522755285,0.7139406928090859,1231.8026720087034
37,2.9978009943134794,0.018852969661318875,0.1441237214373278,0.030476989381502617,0.7142464352256324,1232.673543714386
38,3.5439767474144332,0.015127994408717416,0.14949694125608742,0.030504957620034134,0.6987717458433205,1233.628102176421
39,2.423008030746928,0.016610118914449388,0.14291650608319298,0.029254470023937294,0.7032864756338993,1166.3526222327603
40,2.66708515849092,0.018755407933933033,0.13772478661513318,0.028527367637619917,0.6963610651443407,1239.5392626088444
41,2.656304933063211,0.01671947061776058,0.1615106238210191,0.03300087500823682,0.6963178821361174,1010.6489031497318
42,2.7539470052133197,0.014937524672257329,0.14265960621299728,0.02843794217360369,0.7503364225550809,947.9371413821324
43,2.6868063185425513,0.01596917389176064,0.1386584202847002,0.02777370762668747,0.745073121786288,994.8400509667028
44,2.876070849084215,0.0141569868664149,0.15074832921478654,0.02973721540064169,0.7144206462675273,972.8017961796655
45,2.8212944798513035,0.018043840119863763,0.144328190354228,0.030203481864263176,0.7501286044835723,950.8693781447048
46,2.9731938674062803,0.015739243562452817,0.1609743505196594,0.03221855203599879,0.7531755406932881,778.5889456646294
47,2.7308576058057383,0.016189947121580735,0.16045307909066056,0.03180383023561391,0.6800924978215143,965.9225338316995
48,3.0190639269772532,0.015179742558746526,0.1614049976281233,0.031217297831546493,0.6922894911839772,839.5304081906374
49,2.985126975827029,0.014923890079172787,0.15779792699624498,0.030628864924290088,0.7417455396789766,918.0054621576955
